scenario,algorithm,backend_label,kem_backend,sig_backend,n_clients,dropout_rate,vector_size,phase,time_sec
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,advertise_keys,2.685986
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,verify_sigs,1.230032
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,masked_input,416.3848
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,unmasking,0.004551
clients,original,Original (DH + ECDSA),DH,classic,100,0.0,50000,total,420.30537
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,advertise_keys,17.835033
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,share_keys,56.21739
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,verify_sigs,261.223963
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,masked_input,86.626213
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,unmasking,0.004736
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.0,50000,total,421.907335
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,advertise_keys,8.810087
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,verify_sigs,11.454776
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,masked_input,1644.033372
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,unmasking,0.006384
clients,original,Original (DH + ECDSA),DH,classic,200,0.0,50000,total,1664.30462
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,advertise_keys,19.347581
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,share_keys,118.01846
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,verify_sigs,1468.002128
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,masked_input,497.662819
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,unmasking,0.019297
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.0,50000,total,2103.050285
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,advertise_keys,23.390135
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,verify_sigs,39.398409
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,masked_input,6069.667449
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,unmasking,0.008138
clients,original,Original (DH + ECDSA),DH,classic,300,0.0,50000,total,6132.464131
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,advertise_keys,21.182766
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,share_keys,198.013921
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,verify_sigs,1033.940341
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,masked_input,333.56933
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,unmasking,0.008148
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.0,50000,total,1586.714506
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,advertise_keys,8.84689
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,verify_sigs,19.782409
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,masked_input,4383.592979
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,unmasking,0.010767
clients,original,Original (DH + ECDSA),DH,classic,400,0.0,50000,total,4412.233046
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,advertise_keys,31.907256
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,share_keys,396.95464
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,verify_sigs,2037.532318
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,masked_input,1890.097907
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,unmasking,0.024068
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.0,50000,total,4356.516188
clients,original,Original (DH + ECDSA),DH,classic,500,0.0,50000,advertise_keys,33.80416
clients,original,Original (DH + ECDSA),DH,classic,500,0.0,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,500,0.0,50000,verify_sigs,121.041821
clients,original,Original (DH + ECDSA),DH,classic,500,0.0,50000,masked_input,25087.183602
clients,original,Original (DH + ECDSA),DH,classic,500,0.0,50000,unmasking,0.021097
clients,original,Original (DH + ECDSA),DH,classic,500,0.0,50000,total,25242.050682
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,50000,advertise_keys,47.873128
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,50000,share_keys,741.66639
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,50000,verify_sigs,3758.100191
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,50000,masked_input,1233.554487
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,50000,unmasking,0.019062
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.0,50000,total,5781.213257
clients,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,advertise_keys,2.990631
clients,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,verify_sigs,1.366151
clients,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,masked_input,283.664373
clients,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,unmasking,28.510543
clients,original,Original (DH + ECDSA),DH,classic,100,0.1,50000,total,316.531698
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.1,50000,advertise_keys,9.904928
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.1,50000,share_keys,29.826032
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.1,50000,verify_sigs,135.460016
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.1,50000,masked_input,39.662133
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.1,50000,unmasking,0.577496
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.1,50000,total,215.430605
clients,original,Original (DH + ECDSA),DH,classic,200,0.1,50000,advertise_keys,5.426658
clients,original,Original (DH + ECDSA),DH,classic,200,0.1,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,200,0.1,50000,verify_sigs,5.468253
clients,original,Original (DH + ECDSA),DH,classic,200,0.1,50000,masked_input,1139.632514
clients,original,Original (DH + ECDSA),DH,classic,200,0.1,50000,unmasking,113.653278
clients,original,Original (DH + ECDSA),DH,classic,200,0.1,50000,total,1264.180703
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.1,50000,advertise_keys,20.492218
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.1,50000,share_keys,119.294452
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.1,50000,verify_sigs,544.369666
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.1,50000,masked_input,157.509146
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.1,50000,unmasking,2.164578
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.1,50000,total,843.83006
clients,original,Original (DH + ECDSA),DH,classic,300,0.1,50000,advertise_keys,8.191019
clients,original,Original (DH + ECDSA),DH,classic,300,0.1,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,300,0.1,50000,verify_sigs,12.283354
clients,original,Original (DH + ECDSA),DH,classic,300,0.1,50000,masked_input,2571.393339
clients,original,Original (DH + ECDSA),DH,classic,300,0.1,50000,unmasking,256.318672
clients,original,Original (DH + ECDSA),DH,classic,300,0.1,50000,total,2848.186385
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.1,50000,advertise_keys,31.349902
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.1,50000,share_keys,269.583556
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.1,50000,verify_sigs,1234.630558
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.1,50000,masked_input,355.055905
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.1,50000,unmasking,5.038163
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.1,50000,total,1895.658084
clients,original,Original (DH + ECDSA),DH,classic,400,0.1,50000,advertise_keys,10.608385
clients,original,Original (DH + ECDSA),DH,classic,400,0.1,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,400,0.1,50000,verify_sigs,21.852247
clients,original,Original (DH + ECDSA),DH,classic,400,0.1,50000,masked_input,4578.357115
clients,original,Original (DH + ECDSA),DH,classic,400,0.1,50000,unmasking,470.054146
clients,original,Original (DH + ECDSA),DH,classic,400,0.1,50000,total,5080.871895
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.1,50000,advertise_keys,38.589212
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.1,50000,share_keys,483.859345
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.1,50000,verify_sigs,2177.383592
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.1,50000,masked_input,645.997058
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.1,50000,unmasking,8.810065
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.1,50000,total,3354.639272
clients,original,Original (DH + ECDSA),DH,classic,500,0.1,50000,advertise_keys,13.14748
clients,original,Original (DH + ECDSA),DH,classic,500,0.1,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,500,0.1,50000,verify_sigs,34.903428
clients,original,Original (DH + ECDSA),DH,classic,500,0.1,50000,masked_input,7163.686018
clients,original,Original (DH + ECDSA),DH,classic,500,0.1,50000,unmasking,810.638172
clients,original,Original (DH + ECDSA),DH,classic,500,0.1,50000,total,8022.375099
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,advertise_keys,48.652829
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,share_keys,7774.329544
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,verify_sigs,8223.747125
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,masked_input,847.738066
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,unmasking,11.655553
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.1,50000,total,16906.123117
clients,original,Original (DH + ECDSA),DH,classic,100,0.2,50000,advertise_keys,2.284562
clients,original,Original (DH + ECDSA),DH,classic,100,0.2,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,100,0.2,50000,verify_sigs,1.238612
clients,original,Original (DH + ECDSA),DH,classic,100,0.2,50000,masked_input,207.32072
clients,original,Original (DH + ECDSA),DH,classic,100,0.2,50000,unmasking,62.819098
clients,original,Original (DH + ECDSA),DH,classic,100,0.2,50000,total,273.662992
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.2,50000,advertise_keys,12.007877
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.2,50000,share_keys,33.506305
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.2,50000,verify_sigs,135.655727
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.2,50000,masked_input,41.416581
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.2,50000,unmasking,1.195336
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.2,50000,total,223.781826
clients,original,Original (DH + ECDSA),DH,classic,200,0.2,50000,advertise_keys,6.666321
clients,original,Original (DH + ECDSA),DH,classic,200,0.2,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,200,0.2,50000,verify_sigs,6.562246
clients,original,Original (DH + ECDSA),DH,classic,200,0.2,50000,masked_input,1263.356528
clients,original,Original (DH + ECDSA),DH,classic,200,0.2,50000,unmasking,248.750194
clients,original,Original (DH + ECDSA),DH,classic,200,0.2,50000,total,1525.33529
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.2,50000,advertise_keys,21.387791
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.2,50000,share_keys,131.645246
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.2,50000,verify_sigs,514.687801
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.2,50000,masked_input,158.691668
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.2,50000,unmasking,2.987719
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,200,0.2,50000,total,829.400224
clients,original,Original (DH + ECDSA),DH,classic,300,0.2,50000,advertise_keys,6.560037
clients,original,Original (DH + ECDSA),DH,classic,300,0.2,50000,share_keys,0.0
clients,original,Original (DH + ECDSA),DH,classic,300,0.2,50000,verify_sigs,8.941625
clients,original,Original (DH + ECDSA),DH,classic,300,0.2,50000,masked_input,12267.699945
clients,original,Original (DH + ECDSA),DH,classic,300,0.2,50000,unmasking,442.652378
clients,original,Original (DH + ECDSA),DH,classic,300,0.2,50000,total,12725.853986
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.2,50000,advertise_keys,22.911071
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.2,50000,share_keys,206.175483
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.2,50000,verify_sigs,1069.918694
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.2,50000,masked_input,284.831404
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.2,50000,unmasking,8.538475
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,300,0.2,50000,total,1592.375127
clients,original,Original (DH + ECDSA),DH,classic,400,0.2,50000,advertise_keys,10.647943
clients,original,Original (DH + ECDSA),DH,classic,400,0.2,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,400,0.2,50000,verify_sigs,19.339082
clients,original,Original (DH + ECDSA),DH,classic,400,0.2,50000,masked_input,11829.900939
clients,original,Original (DH + ECDSA),DH,classic,400,0.2,50000,unmasking,2486.358069
clients,original,Original (DH + ECDSA),DH,classic,400,0.2,50000,total,14346.246034
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.2,50000,advertise_keys,56.773309
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.2,50000,share_keys,1285.586992
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.2,50000,verify_sigs,3247.173041
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.2,50000,masked_input,573.033505
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.2,50000,unmasking,17.8192
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,400,0.2,50000,total,5180.386047
clients,original,Original (DH + ECDSA),DH,classic,500,0.2,50000,advertise_keys,16.389704
clients,original,Original (DH + ECDSA),DH,classic,500,0.2,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,500,0.2,50000,verify_sigs,36.986489
clients,original,Original (DH + ECDSA),DH,classic,500,0.2,50000,masked_input,7700.513191
clients,original,Original (DH + ECDSA),DH,classic,500,0.2,50000,unmasking,1175.415051
clients,original,Original (DH + ECDSA),DH,classic,500,0.2,50000,total,8929.304436
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,advertise_keys,44.039761
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,share_keys,686.585908
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,verify_sigs,2817.629055
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,masked_input,740.208402
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,unmasking,23.071847
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,500,0.2,50000,total,4311.534974
clients,original,Original (DH + ECDSA),DH,classic,100,0.3,50000,advertise_keys,2.877468
clients,original,Original (DH + ECDSA),DH,classic,100,0.3,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,100,0.3,50000,verify_sigs,1.034806
clients,original,Original (DH + ECDSA),DH,classic,100,0.3,50000,masked_input,206.78062
clients,original,Original (DH + ECDSA),DH,classic,100,0.3,50000,unmasking,62.847592
clients,original,Original (DH + ECDSA),DH,classic,100,0.3,50000,total,273.540487
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.3,50000,advertise_keys,8.563622
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.3,50000,share_keys,27.563495
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.3,50000,verify_sigs,95.231425
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.3,50000,masked_input,22.550119
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.3,50000,unmasking,1.176096
clients,pq,PQ (ML-KEM-768 + ML-DSA-65),ML-KEM-768,ML-DSA-65,100,0.3,50000,total,155.084757
clients,original,Original (DH + ECDSA),DH,classic,200,0.3,50000,advertise_keys,5.900422
clients,original,Original (DH + ECDSA),DH,classic,200,0.3,50000,share_keys,1e-06
clients,original,Original (DH + ECDSA),DH,classic,200,0.3,50000,verify_sigs,4.192004
clients,original,Original (DH + ECDSA),DH,classic,200,0.3,50000,masked_input,819.516227
