n_clients,threshold_rate,k_threshold,crypto,phase,time_sec,,,,,,
10,0.5,5,DH,Key Generation,1.421628,,,,,,
10,0.5,5,DH,Encapsulation,1.00E-06,,,,,,
10,0.5,5,DH,Masking,1.224379,,,,,,
10,0.5,5,DH,Unmasking/Correction,0.752348,,,,,,
10,0.5,5,ML-KEM-768,Key Generation,0.063266,,,,,,
10,0.5,5,ML-KEM-768,Encapsulation,0.218893,,,,,,
10,0.5,5,ML-KEM-768,Masking,0.068531,,,,,,
10,0.5,5,ML-KEM-768,Unmasking/Correction,0.002506,,,,,,
10,0.6,6,DH,Key Generation,0.240759,,,,,,
10,0.6,6,DH,Encapsulation,1.00E-06,,,,,,
10,0.6,6,DH,Masking,1.571816,,,,,,
10,0.6,6,DH,Unmasking/Correction,0.65502,,,,,,
10,0.6,6,ML-KEM-768,Key Generation,0.037334,,,,,,
10,0.6,6,ML-KEM-768,Encapsulation,0.217911,,,,,,
10,0.6,6,ML-KEM-768,Masking,0.105802,,,,,,
10,0.6,6,ML-KEM-768,Unmasking/Correction,0.002451,,,,,,
10,0.7,7,DH,Key Generation,0.226177,,,,,,
10,0.7,7,DH,Encapsulation,0,,,,,,
10,0.7,7,DH,Masking,1.773634,,,,,,
10,0.7,7,DH,Unmasking/Correction,0.597717,,,,,,
10,0.7,7,ML-KEM-768,Key Generation,0.035038,,,,,,
10,0.7,7,ML-KEM-768,Encapsulation,0.248306,,,,,,
10,0.7,7,ML-KEM-768,Masking,0.172184,,,,,,
10,0.7,7,ML-KEM-768,Unmasking/Correction,0.002139,,,,,,
10,0.8,8,DH,Key Generation,0.234967,,,,,,
10,0.8,8,DH,Encapsulation,0,,,,,,
10,0.8,8,DH,Masking,2.303974,,,,,,
10,0.8,8,DH,Unmasking/Correction,0.525058,,,,,,
10,0.8,8,ML-KEM-768,Key Generation,0.048456,,,,,,
10,0.8,8,ML-KEM-768,Encapsulation,0.288243,,,,,,
10,0.8,8,ML-KEM-768,Masking,0.307988,,,,,,
10,0.8,8,ML-KEM-768,Unmasking/Correction,0.003244,,,,,,
20,0.5,10,DH,Key Generation,0.572247,,,,,,
20,0.5,10,DH,Encapsulation,0,,,,,,
20,0.5,10,DH,Masking,6.648084,,,,,,
20,0.5,10,DH,Unmasking/Correction,6.995353,,,,,,
20,0.5,10,ML-KEM-768,Key Generation,0.524343,,,,,,
20,0.5,10,ML-KEM-768,Encapsulation,5.333651,,,,,,
20,0.5,10,ML-KEM-768,Masking,1.398026,,,,,,
20,0.5,10,ML-KEM-768,Unmasking/Correction,0.043731,,,,,,
20,0.6,12,DH,Key Generation,1.06306,,,,,,
20,0.6,12,DH,Encapsulation,1.00E-06,,,,,,
20,0.6,12,DH,Masking,14.841298,,,,,,
20,0.6,12,DH,Unmasking/Correction,6.350814,,,,,,
20,0.6,12,ML-KEM-768,Key Generation,0.244853,,,,,,
20,0.6,12,ML-KEM-768,Encapsulation,3.152745,,,,,,
20,0.6,12,ML-KEM-768,Masking,1.846433,,,,,,
20,0.6,12,ML-KEM-768,Unmasking/Correction,0.041627,,,,,,
20,0.7,14,DH,Key Generation,1.501019,,,,,,
20,0.7,14,DH,Encapsulation,1.00E-06,,,,,,
20,0.7,14,DH,Masking,17.605953,,,,,,
20,0.7,14,DH,Unmasking/Correction,4.8223,,,,,,
20,0.7,14,ML-KEM-768,Key Generation,0.203543,,,,,,
20,0.7,14,ML-KEM-768,Encapsulation,2.719344,,,,,,
20,0.7,14,ML-KEM-768,Masking,1.544831,,,,,,
20,0.7,14,ML-KEM-768,Unmasking/Correction,0.025954,,,,,,
20,0.8,16,DH,Key Generation,1.064478,,,,,,
20,0.8,16,DH,Encapsulation,1.00E-06,,,,,,
20,0.8,16,DH,Masking,17.951982,,,,,,
20,0.8,16,DH,Unmasking/Correction,3.400319,,,,,,
20,0.8,16,ML-KEM-768,Key Generation,0.224772,,,,,,
20,0.8,16,ML-KEM-768,Encapsulation,2.250419,,,,,,
20,0.8,16,ML-KEM-768,Masking,1.720331,,,,,,
20,0.8,16,ML-KEM-768,Unmasking/Correction,0.018047,,,,,,
50,0.5,25,DH,Key Generation,,,,,,,
50,0.5,25,DH,Encapsulation,,,,,,,
50,0.5,25,DH,Masking,,,,,,,
50,0.5,25,DH,Unmasking/Correction,,,,,,,
50,0.5,25,ML-KEM-768,Key Generation,0.389333,,,,,,
50,0.5,25,ML-KEM-768,Encapsulation,13.574035,,,,,,
50,0.5,25,ML-KEM-768,Masking,4.697244,,,,,,
50,0.5,25,ML-KEM-768,Unmasking/Correction,0.147585,,,,,,
50,0.6,30,DH,Key Generation,,,,,,,
50,0.6,30,DH,Encapsulation,,,,,,,
50,0.6,30,DH,Masking,,,,,,,
50,0.6,30,DH,Unmasking/Correction,,,,,,,
50,0.6,30,ML-KEM-768,Key Generation,0.443864,,,,,,
50,0.6,30,ML-KEM-768,Encapsulation,13.242869,,,,,,
50,0.6,30,ML-KEM-768,Masking,6.750272,,,,,,
50,0.6,30,ML-KEM-768,Unmasking/Correction,0.158197,,,,,,
50,0.7,35,DH,Key Generation,,,,,,,
50,0.7,35,DH,Encapsulation,,,,,,,
50,0.7,35,DH,Masking,,,,,,,
50,0.7,35,DH,Unmasking/Correction,,,,,,,
50,0.7,35,ML-KEM-768,Key Generation,0.44492,,,,,,
50,0.7,35,ML-KEM-768,Encapsulation,13.515891,,,,,,
50,0.7,35,ML-KEM-768,Masking,9.131649,,,,,,
50,0.7,35,ML-KEM-768,Unmasking/Correction,0.106165,,,,,,
50,0.8,40,DH,Key Generation,,,,,,,
50,0.8,40,DH,Encapsulation,,,,,,,
50,0.8,40,DH,Masking,,,,,,,
50,0.8,40,DH,Unmasking/Correction,,,,,,,
50,0.8,40,ML-KEM-768,Key Generation,0.428778,,,,,,
50,0.8,40,ML-KEM-768,Encapsulation,13.767289,,,,,,
50,0.8,40,ML-KEM-768,Masking,12.056119,,,,,,
50,0.8,40,ML-KEM-768,Unmasking/Correction,0.109684,,,,,,
100,0.5,50,DH,Key Generation,,,,,,,
100,0.5,50,DH,Encapsulation,,,,,,,
100,0.5,50,DH,Masking,,,,,,,
100,0.5,50,DH,Unmasking/Correction,,,,,,,
100,0.5,50,ML-KEM-768,Key Generation,,,,,,,
100,0.5,50,ML-KEM-768,Encapsulation,,,,,,,
100,0.5,50,ML-KEM-768,Masking,,,,,,,
100,0.5,50,ML-KEM-768,Unmasking/Correction,,,,,,,
100,0.6,60,DH,Key Generation,,,,,,,
100,0.6,60,DH,Encapsulation,,,,,,,
100,0.6,60,DH,Masking,,,,,,,
100,0.6,60,DH,Unmasking/Correction,,,,,,,
100,0.6,60,ML-KEM-768,Key Generation,,,,,,,
100,0.6,60,ML-KEM-768,Encapsulation,,,,,,,
100,0.6,60,ML-KEM-768,Masking,,,,,,,
100,0.6,60,ML-KEM-768,Unmasking/Correction,,,,,,,
100,0.7,70,DH,Key Generation,,,,,,,
100,0.7,70,DH,Encapsulation,,,,,,,
100,0.7,70,DH,Masking,,,,,,,
100,0.7,70,DH,Unmasking/Correction,,,,,,,
100,0.7,70,ML-KEM-768,Key Generation,,,,,,,
100,0.7,70,ML-KEM-768,Encapsulation,,,,,,,
100,0.7,70,ML-KEM-768,Masking,,,,,,,
100,0.7,70,ML-KEM-768,Unmasking/Correction,,,,,,,
100,0.8,80,DH,Key Generation,,,,,,,
100,0.8,80,DH,Encapsulation,,,,,,,
100,0.8,80,DH,Masking,,,,,,,
100,0.8,80,DH,Unmasking/Correction,,,,,,,
100,0.8,80,ML-KEM-768,Key Generation,,,,,,,
100,0.8,80,ML-KEM-768,Encapsulation,,,,,,,
100,0.8,80,ML-KEM-768,Masking,,,,,,,
100,0.8,80,ML-KEM-768,Unmasking/Correction,,,,,,,
200,0.5,100,DH,Key Generation,,,,,,,
200,0.5,100,DH,Encapsulation,,,,,,,
200,0.5,100,DH,Masking,,,,,,,
200,0.5,100,DH,Unmasking/Correction,,,,,,,
200,0.5,100,ML-KEM-768,Key Generation,,,,,,,
200,0.5,100,ML-KEM-768,Encapsulation,,,,,,,
200,0.5,100,ML-KEM-768,Masking,,,,,,,
200,0.5,100,ML-KEM-768,Unmasking/Correction,,,,,,,
200,0.6,120,DH,Key Generation,,,,,,,
200,0.6,120,DH,Encapsulation,,,,,,,
200,0.6,120,DH,Masking,,,,,,,
200,0.6,120,DH,Unmasking/Correction,,,,,,,
200,0.6,120,ML-KEM-768,Key Generation,,,,,,,
200,0.6,120,ML-KEM-768,Encapsulation,,,,,,,
200,0.6,120,ML-KEM-768,Masking,,,,,,,
200,0.6,120,ML-KEM-768,Unmasking/Correction,,,,,,,
200,0.7,140,DH,Key Generation,,,,,,,
200,0.7,140,DH,Encapsulation,,,,,,,
200,0.7,140,DH,Masking,,,,,,,
200,0.7,140,DH,Unmasking/Correction,,,,,,,
200,0.7,140,ML-KEM-768,Key Generation,,,,,,,
200,0.7,140,ML-KEM-768,Encapsulation,,,,,,,
200,0.7,140,ML-KEM-768,Masking,,,,,,,
200,0.7,140,ML-KEM-768,Unmasking/Correction,,,,,,,
200,0.8,160,DH,Key Generation,,,,,,,
200,0.8,160,DH,Encapsulation,,,,,,,
200,0.8,160,DH,Masking,,,,,,,
200,0.8,160,DH,Unmasking/Correction,,,,,,,
200,0.8,160,ML-KEM-768,Key Generation,,,,,,,
200,0.8,160,ML-KEM-768,Encapsulation,,,,,,,
200,0.8,160,ML-KEM-768,Masking,,,,,,,
200,0.8,160,ML-KEM-768,Unmasking/Correction,,,,,,,
